"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
1100000,0.8,1825,0.263004109524456,0.262819229735146,0.263201229753453,0.256680006073676,0.269815297299988,317023.652,309351,325176,1162018.788,1160942,1163051,1205394.318,1204457,1206403,0,500
1200000,0.8,1825,0.262955464248016,0.26276575760272,0.263128003499561,0.256178732885437,0.271217573250399,345781.244,336884,356589,1267662.374,1266390,1268967,1314980.36,1313956,1315965,0,500
1300000,0.8,1825,0.263062203569888,0.262874813156142,0.263242999813714,0.256392183072685,0.270070446752277,374745.696,365204,384825,1373287.336,1371902,1374839,1424551.594,1423452,1425727,0,500
1400000,0.8,1825,0.263102670194793,0.262943846231937,0.263252285039816,0.257834053177907,0.269211491797114,403634.516,395610,413045,1478927.866,1477656,1480122,1534133.362,1533099,1534997,0,500
1500000,0.8,1825,0.263149102685087,0.262983359660464,0.263314872084578,0.255895859739479,0.269774096394707,432542.006,420539,443299,1584561.174,1583169,1585938,1643714.72,1642626,1644949,0,500
1600000,0.8,1825,0.263125717302909,0.262966646862077,0.263288085396938,0.256021653657819,0.268565086943603,461334.412,448914,470927,1690196.506,1689003,1691420,1753285.352,1751943,1754324,0,500
1700000,0.8,1825,0.263053238079373,0.262895118555401,0.263209322700839,0.25683603764579,0.26900392375779,490033.296,478362,501157,1795813.916,1794406,1797099,1862867.326,1861516,1864035,0,500
1800000,0.8,1825,0.262976932434377,0.262835718044154,0.263122416311676,0.256612687578556,0.267228854442252,518707.094,506119,526959,1901446.366,1899876,1902977,1972443.314,1971242,1973598,0,500
1900000,0.8,1825,0.263062883230796,0.262921634100115,0.263208479690377,0.258056801368097,0.269248524868628,547706.936,537354,560489,2007107.076,2005535,2008707,2082038.062,2080620,2083538,0,500
2e+06,0.8,1825,0.263137789072721,0.262997120046345,0.263280379837836,0.25827586348551,0.269640191401531,576700.464,565846,591006,2112739.644,2111260,2114082,2191629.04,2190392,2192902,0,500
2100000,0.8,1825,0.263045883020123,0.262910167330768,0.263190644437782,0.258089423157975,0.269248416875882,605324.74,593983,619665,2218379.918,2216478,2219993,2301213.462,2299721,2302678,0,500
2200000,0.8,1825,0.263030895140642,0.26289126200306,0.263163823843634,0.258126151394951,0.268784235724263,634111.744,622115,648099,2324017.77,2322439,2325648,2410787.886,2409606,2412099,0,500
2300000,0.8,1825,0.263069000824772,0.262936984161451,0.263200551711427,0.259276990016128,0.267601867439119,663029.79,653161,674479,2429637.962,2427963,2431530,2520364.634,2518961,2522134,0,500
2400000,0.8,1825,0.262950681273369,0.262821086983041,0.263095258788438,0.258710978560662,0.267941668422466,691546.398,680525,704521,2535280.392,2533515,2536709,2629947.38,2628460,2631483,0,500
