"initpop","b","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
5e+05,5e-05,1825,0.22816878465981,0.227888324740889,0.228475023901346,0.21702162681176,0.239365748054532,124773.772,118662,130912,527191.862,526412,528008,546848.588,546147,547577,0,500
550000,5e-05,1825,0.228239181244014,0.227958924967503,0.228497121860589,0.218279014024339,0.238524118716816,137293.822,131316,143488,579909.312,579085,580765,601534.658,600788,602320,0,500
6e+05,5e-05,1825,0.229131194395243,0.228894021162843,0.229356115430986,0.221304091347671,0.23644427233726,150357.644,145185,155089,632615.278,631771,633452,656207.488,655418,656929,0,500
650000,5e-05,1825,0.229146933688324,0.228924934307358,0.229385635848541,0.220035114304229,0.236012559576396,162901.688,156531,167770,685344.842,684523,686182,710905.14,710192,711731,0,500
7e+05,5e-05,1825,0.229287461660056,0.229028658045145,0.229515278865573,0.221074779537761,0.237765143003465,175538.04,169269,181994,738055.728,736982,738915,765580.716,764620,766414,0,500
750000,5e-05,1825,0.229318113946986,0.22909784425793,0.229535750822788,0.218162309793211,0.236900786495347,188101.664,178928,194311,790772.13,789842,791629,820265.342,819543,821176,0,500
8e+05,5e-05,1825,0.229727577212662,0.229539215811142,0.229925308399442,0.220783228933291,0.236152600056475,201002.438,193150,206570,843500.896,842535,844905,874960.35,874038,876059,0,500
850000,5e-05,1825,0.22959475094461,0.229405028939046,0.22979619778274,0.221613401745875,0.235614537906855,213443.566,206067,219085,896227.02,895203,897392,929653.494,928721,930466,0,500
9e+05,5e-05,1825,0.229969322154585,0.229782059539402,0.230173446394957,0.224315515456954,0.23664357854684,226365.908,220855,232973,948937.54,947976,950187,984330.914,983380,985301,0,500
950000,5e-05,1825,0.229783662064262,0.229583181285865,0.22997489641316,0.223190932868352,0.236555082506567,238749.044,231936,245754,1001655.68,1000589,1002871,1039016.458,1038137,1040012,0,500
1e+06,5e-05,1825,0.229897703023958,0.229714718985443,0.230072544403018,0.22216990748825,0.236220962307151,251438.082,243011,258194,1054368.72,1053527,1055441,1093695.554,1092779,1094898,0,500
1100000,5e-05,1825,0.2300273950016,0.229849499838095,0.230206526474054,0.22327073558929,0.23608373033155,276739.028,268636,284055,1159810.342,1158590,1160912,1203069.794,1202208,1204031,0,500
1200000,5e-05,1825,0.230042108468665,0.229874844869124,0.230207742721139,0.224504858865163,0.237029859546325,301914.11,294743,311160,1265235.448,1264004,1266453,1312430.014,1311452,1313503,0,500
1300000,5e-05,1825,0.230163524774414,0.229995909108787,0.230334304238706,0.22487169136728,0.236156373548877,327245.436,319759,335876,1370668.94,1369465,1371834,1421795.554,1420484,1422925,0,500
1400000,5e-05,1825,0.230391815306208,0.23022639243278,0.230542148190293,0.224345218848291,0.238896314209974,352770.696,343440,365702,1476114.87,1474589,1477555,1531177.096,1529795,1532283,0,500
1500000,5e-05,1825,0.230247776024615,0.230081443003799,0.230397350813065,0.224014631715291,0.236415761700593,377730.356,367690,388076,1581540.476,1579993,1582767,1640538.646,1639245,1641823,0,500
1600000,5e-05,1825,0.23019805670649,0.2300629899628,0.230350799400443,0.225512122168407,0.235583127118111,402821.862,394464,412221,1686965.186,1685263,1688193,1749892.546,1748612,1751046,0,500
1700000,5e-05,1825,0.230353569882401,0.230210990794426,0.230496050117471,0.224072796009474,0.237470007854445,428286.634,416552,441414,1792375.642,1791027,1793781,1859257.894,1858215,1860787,0,500
1800000,5e-05,1825,0.230399515089607,0.230243560009231,0.230551414811875,0.224981016499773,0.238936133353181,453571.224,442946,470314,1897815.752,1896558,1899409,1968629.436,1967351,1969940,0,500
1900000,5e-05,1825,0.230234230511553,0.230088928786971,0.230379444598272,0.225287187025587,0.236645327675012,478426.344,468049,491833,2003258.428,2001599,2004734,2077998.512,2076298,2079348,0,500
2e+06,5e-05,1825,0.230367602783258,0.230223543097169,0.230498989530444,0.22588969842126,0.235650554800424,503899.348,494206,515602,2108696.154,2107045,2110154,2187370.892,2186028,2188601,0,500
2100000,5e-05,1825,0.23034119848241,0.230213191867775,0.230458450769167,0.226252086702318,0.235052257344893,529034.474,519630,539892,2214141.642,2212699,2215721,2296742.84,2295507,2297944,0,500
2200000,5e-05,1825,0.230375477330945,0.230234149121318,0.230516445467256,0.225165029016433,0.235085637695053,554309.822,541836,565516,2319565.352,2317883,2321516,2406114.894,2404792,2407817,0,500
2300000,5e-05,1825,0.23043526398227,0.230298378547356,0.23056973658809,0.226729485738094,0.236286314376932,579656.356,570309,594451,2425000.928,2423293,2426941,2515484.672,2514242,2517398,0,500
2400000,5e-05,1825,0.230273950275226,0.230141582077508,0.230419140046855,0.22593290668971,0.236880590027271,604434.658,593000,621835,2530441.356,2528398,2531904,2624850.328,2623421,2626095,0,500
2500000,5e-05,1825,0.230352701728767,0.230222790570024,0.230486414885504,0.225125130469955,0.236191408149817,629836.366,615570,645898,2635883.506,2633853,2637600,2734225.99,2732549,2735493,0,500
10000,2e-04,1825,0.0221436977791886,0.019243409766288,0.0252292633299971,6.87379708551004e-05,0.134790528233151,316.795597484277,1,1924,13867.2830188679,13631,14098,14314.8176100629,14072,14550,318,318
20000,2e-04,1825,0.0369760221285227,0.0331111319948855,0.0409462614225881,3.45053655843484e-05,0.199100543857203,1058.430523918,1,5711,27736.4396355353,27416,28069,28632.5216400911,28264,28990,439,439
30000,2e-04,1825,0.0646355663347177,0.0588465613390759,0.069852909225089,2.32120888558761e-05,0.210585453779349,2775.82991803279,1,8996,41600.9221311475,41208,42067,42946.5840163934,42532,43404,451,488
40000,2e-04,1825,0.105450741201554,0.0993970097943356,0.11208525513778,1.74565767652963e-05,0.205776927092396,6038.56363636364,1,11834,55465.0767676768,55001,55968,57263.7838383838,56806,57782,370,495
50000,2e-04,1825,0.147844525006065,0.142002295547053,0.153131187604401,1.3953423472449e-05,0.206953665427923,10581.7108433735,1,14869,69321.9578313253,68812,69880,71577.0582329317,71034,72130,208,498
60000,2e-04,1825,0.160306134134433,0.154890800572725,0.165460165703158,2.33024187910705e-05,0.211760734696728,13769.8915662651,2,18193,83187.0060240964,82620,83835,85895.0883534137,85301,86519,133,498
70000,2e-04,1825,0.180744783189005,0.177641333361654,0.183831581253309,0.00137353067054175,0.206193473843579,18112.368,138,20701,97049.302,96423,97714,100211.538,99599,100908,64,500
80000,2e-04,1825,0.182902128941516,0.179588454705043,0.186279086329723,0.000620016941307974,0.209148160424263,20947.7,71,23978,110913.552,110187,111604,114529.028,113868,115260,40,500
90000,2e-04,1825,0.189246990511372,0.186650758865015,0.19160154618779,2.32032917736596e-05,0.207807430177138,24383.3,3,26771,124774.25,124052,125548,128843.786,128141,129624,19,500
1e+05,2e-04,1825,0.193214967502627,0.191869028443547,0.194178913637451,0.00330459569354591,0.207686549936692,27660.666,473,29689,138636.68,137917,139423,143159.972,142417,143953,5,500
150000,2e-04,1825,0.196770635186138,0.196410819920125,0.197141986264394,0.185973566641847,0.207149574917824,42256.394,39962,44504,207961.246,207104,208897,214749.564,213941,215705,0,500
2e+05,2e-04,1825,0.19882414497653,0.198489981707167,0.199150823089878,0.187001199910704,0.209774931266748,56926.122,53611,60201,277259.752,276309,278387,286314.166,285413,287326,0,500
250000,2e-04,1825,0.199847216127497,0.199569133832973,0.200125329383183,0.190588635913238,0.209200275969174,71521.65,68277,74896,346563.154,345540,347547,357882.08,356862,358848,0,500
3e+05,2e-04,1825,0.200785269373041,0.200520175246288,0.201064407885061,0.191731635824763,0.210324354117393,86232.644,82287,90438,415892.88,414547,417162,429477.14,428239,430744,0,500
350000,2e-04,1825,0.201493002970864,0.201229928449354,0.20174923822921,0.19204739423642,0.211062384779295,100955.84,96084,105787,485189.91,483738,486436,501039.146,499506,502449,0,500
4e+05,2e-04,1825,0.201624363401182,0.201371868693647,0.201861074408459,0.192310378178695,0.208343021172226,115452.05,110155,119265,554496.796,552981,556539,572609.564,571342,574425,0,500
450000,2e-04,1825,0.201954823981782,0.201711848595067,0.202206643686606,0.195290662896297,0.210723863084704,130099.504,125692,135864,623822.762,622204,625593,644201.404,642594,645822,0,500
